ID	ANSWER	HINT	TYPEIN
SVG Path	Road Name	Route	Alternate
mounts-bay-road	Mounts Bay Road	State Route 5	
barrack-street	Barrack Street	State Route 5 / State Route 53	
adelaide-terrace	Adelaide Terrace		
mitchell-freeway	Mitchell Freeway	State Route 2	
kwinana-freeway	Kwinana Freeway	National Route 1 / State Route 2	
william-street	William Street	State Route 53	
alexander-drive	Alexander Drive	State Route 56	
stirling-highway	Stirling Highway	State Route 5	
winthrop-avenue	Winthrop Avenue	State Route 61	
erindale-road	Erindale Road		
hepburn-avenue	Hepburn Avenue	State Route 82	
marmion-avenue	Marmion Avenue	State Route 71	
reid-highway	Reid Highway	State Route 3	
beach-road	Beach Road		
vincent-street	Vincent Street	State Route 72	
loftus-street	Loftus Street	State Route 61	
fitzgerald-street	Fitzgerald Street	State Route 56	
thomas-street	Thomas Street	State Route 61	
ocean-reef-road	Ocean Reef Road	State Route 84	
warwick-road	Warwick Road	State Route 81	
lake-monger-drive	Lake Monger Drive	State Route 72	
southport-street	Southport Street		
charles-street	Charles Street	State Route 60	
london-street	London Street	State Route 61	
malaga-drive	Malaga Drive		
karrinyup-road	Karrinyup Road	State Route 76	
oxford-street	Oxford Street		
west-coast-highway	West Coast Highway	State Route 71	
joondalup-drive	Joondalup Drive	State Route 85	
curtin-avenue	Curtin Avenue	State Route 71	
eric-street	Eric Street	State Route 71	
cedric-street	Cedric Street		
hutton-street	Hutton Street		
whitfords-avenue	Whitfords Avenue	State Route 83	
nollamara-avenue	Nollamara Avenue		
main-street	Main Street		
wanneroo-road	Wanneroo Road	State Route 60	
burns-beach-road	Burns Beach Road	State Route 87	
graham-farmer-freeway	Graham Farmer Freeway	State Route 8	
roe-highway	Roe Highway	National Highway 94 / State Route 3	
great-eastern-highway-bypass	Great Eastern Highway Bypass	National Highway 94	
canning-highway	Canning Highway	National Route 1 / State Route 6	
south-street	South Street	State Route 13	
mirrabooka-avenue	Mirrabooka Avenue		
marangaroo-drive	Marangaroo Drive	State Route 81	
great-eastern-highway	Great Eastern Highway	National Highway 94 / State Route 51	
causeway	Causeway	State Route 5	
west-swan-road	West Swan Road	State Route 52	
gnangara-road	Gnangara Road	State Route 83	
walcott-street	Walcott Street	State Route 75	
green-street	Green Street	State Route 75	
crimea-street	Crimea Street		
alfred-road	Alfred Road		
wellington-street	Wellington Street	State Route 65	
railway-road	Railway Road		
gugeri-street	Gugeri Street		
plain-street	Plain Street	State Route 65	
kings-park-road	Kings Park Road		
stock-road	Stock Road	National Route 1	
phoenix-road	Phoenix Road		
high-street	High Street	State Route 7	
cambridge-street	Cambridge Street		
the-boulevard	The Boulevard	State Route 72	
orrong-road	Orrong Road	State Route 8	
james-street	James Street	State Route 1 / State Route 51	
guildford-road	Guildford Road	State Route 51	
east-parade	East Parade	State Route 66	
canning-road	Canning Road	State Route 41	
east-street	East Street	State Route 1 / State Route 51	
kalamunda-road	Kalamunda Road	State Route 41	
morrison-road	Morrison Road	National Route 1	
hay-street	Hay Street		
st-georges-terrace	St Georges Terrace		
oceanic-drive	Oceanic Drive		
underwood-avenue	Underwood Avenue	State Route 65	
burslem-drive	Burslem Drive		
fremantle-road	Fremantle Road	State Route 36	
spencer-road	Spencer Road	State Route 36	
nicholson-road	Nicholson Road	State Route 31	
warton-road	Warton Road		
grantham-street	Grantham Street	State Route 72	
hale-road	Hale Road		
huntriss-road	Huntriss Road		
beechboro-road-north	Beechboro Road North	State Route 53	
welshpool-road-east	Welshpool Road East	State Route 8	
safety-bay-road	Safety Bay Road	State Route 18	
shepperton-road	Shepperton Road	State Route 30	
albany-highway	Albany Highway	State Route 30	
welshpool-road	Welshpool Road		
leach-highway	Leach Highway	National Route 1 / State Route 7	
tonkin-highway	Tonkin Highway	State Route 4	
brookton-highway	Brookton Highway	State Route 40	
armadale-road	Armadale Road	State Route 14	
ranford-road	Ranford Road	State Route 13	
kewdale-road	Kewdale Road		
horrie-miller-drive	Horrie Miller Drive		
newcastle-street	Newcastle Street		
bulwer-street	Bulwer Street	State Route 72	
hill-street	Hill Street	State Route 51	
lord-street	Lord Street	State Route 51	
beaufort-street	Beaufort Street	State Route 53	
railway-parade	Railway Parade		
neaves-road	Neaves Road	State Route 85	
brockway-road	Brockway Road		
brookdale-street	Brookdale Street		
hampton-road	Hampton Road	State Route 12	
walter-road-east	Walter Road East		
balcatta-road	Balcatta Road	State Route 78	
morley-drive-east	Morley Drive East	State Route 76	
altone-road	Altone Road		
selby-street	Selby Street	State Route 64	
pearson-street	Pearson Street	State Route 64	
brisbane-street	Brisbane Street	State Route 53	
kenwick-link	Kenwick Link	State Route 30	
hayman-road	Hayman Road		
high-road	High Road	State Route 27	
queen-victoria-street	Queen Victoria Street	State Route 12	
camboon-road	Camboon Road		
wellington-road	Wellington Road		
broun-avenue	Broun Avenue	State Route 53	
kent-street	Kent Street		
mandurah-road	Mandurah Road	National Route 1 / State Route 22	
rockingham-road	Rockingham Road	National Route 1 / State Route 14	
patterson-road	Patterson Road	National Route 1 / State Route 18	
riverside-drive	Riverside Drive	State Route 5	
beechboro-road-south	Beechboro Road South		
ellen-stirling-boulevard	Ellen Stirling Boulevard		
jon-sanders-drive	Jon Sanders Drive		
south-western-highway	South Western Highway	State Route 20	
benara-road	Benara Road	State Route 76	
beeliar-drive	Beeliar Drive	State Route 14	
ennis-avenue	Ennis Avenue	National Route 1	
olga-road	Olga Road		
kelvin-road	Kelvin Road		
thomas-road	Thomas Road	State Route 21	
read-street	Read Street		
warnbro-sound-avenue	Warnbro Sound Avenue		
lake-road	Lake Road		
champion-drive	Champion Drive		
corfield-street	Corfield Street	State Route 36	
lawson-street	Lawson Street		
douglas-avenue	Douglas Avenue		
karel-avenue	Karel Avenue		
belgravia-street	Belgravia Street	State Route 55	
grandstand-road	Grandstand Road	State Route 55	
garratt-road	Garratt Road	State Route 55	
rae-road	Rae Road		
harborne-street	Harborne Street		
powis-street	Powis Street		
yirrigan-drive	Yirrigan Drive		
ravenswood-drive	Ravenswood Drive		
morley-drive	Morley Drive	State Route 76	
kulija-road	Kulija Road	State Route 22	
mundijong-road	Mundijong Road	State Route 22	
gilmore-avenue	Gilmore Avenue		
wellard-road	Wellard Road		
grand-promenade	Grand Promenade	State Route 55	
dianella-drive	Dianella Drive		
russell-road	Russell Road		
midgegooroo-avenue	Midgegooroo Avenue		
north-lake-road	North Lake Road		
berrigan-drive	Berrigan Drive		
frobisher-street	Frobisher Street		
scarborough-beach-road	Scarborough Beach Road	State Route 75	
flynn-street	Flynn Street	State Route 64	
howtree-place	Howtree Place		
hill-view-terrace	Hill View Terrace		
berwick-street	Berwick Street		
riseley-street	Riseley Street		
marmion-street	Marmion Street		
central-avenue	Central Avenue		
walter-road-west	Walter Road West		
king-william-street	King William Street		
shenton-avenue	Shenton Avenue		
collier-road	Collier Road		
port-beach-road	Port Beach Road		
victoria-street	Victoria Street		
swan-view-road	Swan View Road		
old-york-road	Old York Road		
manning-road	Manning Road	State Route 26	
oats-street	Oats Street		
amelia-street	Amelia Street		
widgee-road	Widgee Road		
coode-street	Coode Street		
fairbrother-street	Fairbrother Street	State Route 55	
royal-street	Royal Street		
cockburn-road	Cockburn Road	State Route 12	
hodges-drive	Hodges Drive		
stubbs-terrace	Stubbs Terrace		
roberts-road	Roberts Road		
johnson-street	Johnson Street	State Route 1	
murdoch-drive	Murdoch Drive		
odin-road	Odin Road		
lloyd-street	Lloyd Street		
great-northern-highway	Great Northern Highway	National Highway 95	
southern-river-road	Southern River Road		
spring-road	Spring Road		
abernethy-road	Abernethy Road	State Route 55	
russell-street	Russell Street		
toodyay-road	Toodyay Road	State Route 50	
garden-street	Garden Street		
stoneham-street	Stoneham Street	State Route 55	
dixon-road	Dixon Road	State Route 22	
bannister-road	Bannister Road		
ord-street	Ord Street	State Route 12	
collier-link	Collier Link		
embleton-avenue	Embleton Avenue		
jandakot-road	Jandakot Road		
yale-road	Yale Road		
woodrow-avenue	Woodrow Avenue		
council-avenue	Council Avenue		
whatley-crescent	Whatley Crescent		
watkins-road	Watkins Road	State Route 22	
stephenson-avenue	Stephenson Avenue	State Route 64	
mundaring-weir-road	Mundaring Weir Road	State Route 207	
meadow-street	Meadow Street	State Route 52 / State Route 203	
centenary-avenue	Centenary Avenue		
birdiya-drive	Birdiya Drive	State Route 5	
tydeman-road	Tydeman Road	State Route 204	
drumpellier-drive	Drumpellier Drive		
airport-drive	Airport Drive		
the-promenade	The Promenade		
brady-street	Brady Street		
walter-place	Walter Place	State Route 204	
muchea-south-road	Muchea South Road	State Route 85 / State Route 359	
